"teacher_count","num_of_orgs_rostered_to"
"20598","2"
"3593","3"
"2258","4"
"740","5"
"518","6"
"278","7"
"157","8"
"141","9"
"594","10"
"168","11"
"46","12"
"46","13"
"41","14"
"31","15"
"26","16"
"34","17"
"9","18"
"22","19"
"108","20"
"25","21"
"210","22"
"6","23"
"8","24"
"20","25"
"2","26"
"10","27"
"4","28"
"2","29"
"3","31"
"4","32"
"1","33"
"2","35"
"1","40"
"36","44"
"1","45"
"343","46"
"38","51"
"13","52"
"45","53"
"1","60"
"1","65"
"2","69"
"5","70"
"1","71"
"1","72"
"1","73"
"1","74"
"1","75"
"3","76"
"7","78"
"1","79"
"2","80"
"1","81"
"1","84"
"1","89"
"6","91"
"1","97"
"2","102"
"1","103"
"1","129"
"654","173"
